File_prefix	new_file_prefix	File	Strain.name	Assembly	Locus	BioSample	BioProject	Source	Paper	Dataset	Host	Generic_host	host_simple	Strain	Location	Country	Altered.Collection.Date	Collection.Date	Submission.Date	Species	Short.species	Assembly.Method	Genome.Representation	Largest.contig	Total.length	X..contigs.....0.bp.	Genome.Coverage	Sequencing.Technology	Assembly.Length	Journal	Authors	Title	X..contigs.....1000.bp.	X..contigs.....5000.bp.	X..contigs.....10000.bp.	X..contigs.....25000.bp.	X..contigs.....50000.bp.	Total.length.....0.bp.	Total.length.....1000.bp.	Total.length.....5000.bp.	Total.length.....10000.bp.	Total.length.....25000.bp.	Total.length.....50000.bp.	X..contigs	GC....	N50	N75	L50	L75	X..N.s.per.100.kbp	Cluster.x	Lane	Study.number	Sample.number	Prodigiosin.producers	Bag.Number	Manual.species	Phenon_1977	Phenon_from_s_plymuthica_and_S_odorifera	Phenon_from_liq_prot_grim_complex_paper	Additional.Strain.Names	Date.on.tube	Biotype	Additional.Information	new_biotype_prev	new_biotype	ref_for_this_new_biotype	misc_biotype_info	two_word_species	Cluster.y	new_dataset	Mosquito	Collection	MosAIC_source_specific	MosAIC_source_lab	Location 	MosAIC_lab_field	Mosquito_spp	host_species_non_mosquito	life_stage_non_mosquito	sex_non_mosquito	tissue_non_mosquito	mosquito_species	mosquito_strain_lab	mosquito_life_stage	mosquito_sex	mosquito_female_feeding_status	mosquito_tissue
GCA_001537165.1_12082_5_44_genomic	12082_5_44	GCA_001537165.1_12082_5_44_genomic.gbff	12082_5_44	None	FCMN01000001	SAMEA2274016	PRJEB5065	blood	Moradigaravand et al; 2015 (BSAC)	NCBI	Homo sapiens	Human	Homo sapiens	2880STDY5682944	United Kingdom:England	United Kingdom	2007	2007	20-Jan-16	Serratia marcescens	Serratia marcescens	None	None	2090460	5297270	28	None	None	5297270	"Submitted (20-JAN-2016) SC; Wellcome Trust Sanger Institute; CB10 1SA; United Kingdom FEATURES             Location/Qualifiers source          1..2090460 /organism=""Serratia marcescens"""	None	Direct Submission	26	18	16	15	11	5297270	5295657	5274425	5263072	5241098	5102632	28	59.94	739095	357219	2	5	45.46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Serratia marcescens	1	Moradigaravand et al; 2015	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001537185.1_12082_3_26_genomic	12082_3_26	GCA_001537185.1_12082_3_26_genomic.gbff	12082_3_26	None	FCJG01000001	SAMEA2273996	PRJEB5065	blood	Moradigaravand et al; 2015 (BSAC)	NCBI	Homo sapiens	Human	Homo sapiens	2880STDY5682924	United Kingdom:England	United Kingdom	2006	2006	20-Jan-16	Serratia marcescens	Serratia marcescens	None	None	1542622	5124991	15	None	None	5125337	"Submitted (20-JAN-2016) SC; Wellcome Trust Sanger Institute; CB10 1SA; United Kingdom FEATURES             Location/Qualifiers source          1..1542622 /organism=""Serratia marcescens"""	None	Direct Submission	13	12	12	12	10	5125337	5124352	5120837	5120837	5120837	5058148	14	59.98	1240326	327496	2	5	88.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Serratia marcescens	1	Moradigaravand et al; 2015	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001537205.1_12082_2_37_genomic	12082_2_37	GCA_001537205.1_12082_2_37_genomic.gbff	12082_2_37	None	FCFW01000001	SAMEA2273901	PRJEB5065	blood	Moradigaravand et al; 2015 (BSAC)	NCBI	Homo sapiens	Human	Homo sapiens	2880STDY5682828	United Kingdom:England	United Kingdom	2002	2002	20-Jan-16	Serratia marcescens	Serratia marcescens	None	None	1629378	5229773	27	None	None	5230461	"Submitted (20-JAN-2016) SC; Wellcome Trust Sanger Institute; CB10 1SA; United Kingdom FEATURES             Location/Qualifiers source          1..1629378 /organism=""Serratia marcescens"""	None	Direct Submission	20	17	15	15	12	5230461	5226146	5219610	5207463	5207463	5108492	25	59.83	1173222	293273	2	4	46.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Serratia marcescens	1	Moradigaravand et al; 2015	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001537225.1_12082_2_72_genomic	12082_2_72	GCA_001537225.1_12082_2_72_genomic.gbff	12082_2_72	None	FCHS01000001	SAMEA2273939	PRJEB5065	blood	Moradigaravand et al; 2015 (BSAC)	NCBI	Homo sapiens	Human	Homo sapiens	2880STDY5682866	United Kingdom:England	United Kingdom	2004	2004	20-Jan-16	Serratia marcescens	Serratia marcescens	None	None	1826205	5274048	32	None	None	5275660	"Submitted (20-JAN-2016) SC; Wellcome Trust Sanger Institute; CB10 1SA; United Kingdom FEATURES             Location/Qualifiers source          1..1826205 /organism=""Serratia marcescens"""	None	Direct Submission	26	18	17	16	12	5275660	5272636	5250588	5244827	5222845	5083651	28	59.94	511489	260591	3	7	99.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Serratia marcescens	1	Moradigaravand et al; 2015	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001537245.1_12082_2_77_genomic	12082_2_77	GCA_001537245.1_12082_2_77_genomic.gbff	12082_2_77	None	FCHY01000001	SAMEA2273944	PRJEB5065	blood	Moradigaravand et al; 2015 (BSAC)	NCBI	Homo sapiens	Human	Homo sapiens	2880STDY5682871	United Kingdom:England	United Kingdom	2004	2004	20-Jan-16	Serratia marcescens	Serratia marcescens	None	None	1030471	5128803	24	None	None	5128803	"Submitted (20-JAN-2016) SC; Wellcome Trust Sanger Institute; CB10 1SA; United Kingdom FEATURES             Location/Qualifiers source          1..1030471 /organism=""Serratia marcescens"""	None	Direct Submission	22	18	17	17	13	5128803	5127438	5114476	5108794	5108794	4974824	24	59.9	889920	383902	3	5	49.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Serratia marcescens	1	Moradigaravand et al; 2015	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001537265.1_12082_3_3_genomic	12082_3_3	GCA_001537265.1_12082_3_3_genomic.gbff	12082_3_3	None	FCJL01000001	SAMEA2273968	PRJEB5065	blood	Moradigaravand et al; 2015 (BSAC)	NCBI	Homo sapiens	Human	Homo sapiens	2880STDY5682895	United Kingdom:England	United Kingdom	2005	2005	20-Jan-16	Serratia sp. 2880STDY5682895	Serratia sp.	None	None	2840337	5072109	14	None	None	5072109	"Submitted (20-JAN-2016) SC; Wellcome Trust Sanger Institute; CB10 1SA; United Kingdom FEATURES             Location/Qualifiers source          1..2840337 /organism=""Serratia sp. 2880STDY5682895"""	None	Direct Submission	13	12	12	12	9	5072109	5071328	5070151	5070151	5070151	4973554	14	60.07	2840337	413461	1	3	54.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Serratia sp.	1	Moradigaravand et al; 2015	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001537285.1_12045_8_16_genomic	12045_8_16	GCA_001537285.1_12045_8_16_genomic.gbff	12045_8_16	None	FCGO01000001	SAMEA2274092	PRJEB5065	blood	Moradigaravand et al; 2015 (BSAC)	NCBI	Homo sapiens	Human	Homo sapiens	2880STDY5683022	United Kingdom:England	United Kingdom	2011	2011	20-Jan-16	Serratia marcescens	Serratia marcescens	None	None	3055000	5049852	13	None	None	5050530	"Submitted (20-JAN-2016) SC; Wellcome Trust Sanger Institute; CB10 1SA; United Kingdom FEATURES             Location/Qualifiers source          1..3055000 /organism=""Serratia marcescens"""	None	Direct Submission	11	9	8	8	7	5050530	5049852	5043435	5037936	5037936	5007394	11	60.05	3055000	416422	1	3	88.34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Serratia marcescens	1	Moradigaravand et al; 2015	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001537305.1_12082_5_41_genomic	12082_5_41	GCA_001537305.1_12082_5_41_genomic.gbff	12082_5_41	None	FCML01000001	SAMEA2274002	PRJEB5065	blood	Moradigaravand et al; 2015 (BSAC)	NCBI	Homo sapiens	Human	Homo sapiens	2880STDY5682930	United Kingdom:England	United Kingdom	2007	2007	20-Jan-16	Serratia marcescens	Serratia marcescens	None	None	2716419	4991889	17	None	None	4992310	"Submitted (20-JAN-2016) SC; Wellcome Trust Sanger Institute; CB10 1SA; United Kingdom FEATURES             Location/Qualifiers source          1..2716419 /organism=""Serratia marcescens"""	None	Direct Submission	14	12	12	12	10	4992310	4990559	4983790	4983790	4983790	4919332	16	60.06	2716419	281504	1	4	131.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Serratia marcescens	1	Moradigaravand et al; 2015	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001537325.1_12082_2_53_genomic	12082_2_53	GCA_001537325.1_12082_2_53_genomic.gbff	12082_2_53	None	FCHA01000001	SAMEA2273918	PRJEB5065	blood	Moradigaravand et al; 2015 (BSAC)	NCBI	Homo sapiens	Human	Homo sapiens	2880STDY5682845	United Kingdom:England	United Kingdom	2003	2003	20-Jan-16	Serratia marcescens	Serratia marcescens	None	None	2822383	5203224	23	None	None	5203695	"Submitted (20-JAN-2016) SC; Wellcome Trust Sanger Institute; CB10 1SA; United Kingdom FEATURES             Location/Qualifiers source          1..2822383 /organism=""Serratia marcescens"""	None	Direct Submission	21	12	11	11	9	5203695	5202369	5178854	5173092	5173092	5100260	22	60.02	2822383	314179	1	4	75.61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Serratia marcescens	1	Moradigaravand et al; 2015	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001537345.1_12082_2_78_genomic	12082_2_78	GCA_001537345.1_12082_2_78_genomic.gbff	12082_2_78	None	FCHZ01000001	SAMEA2273945	PRJEB5065	blood	Moradigaravand et al; 2015 (BSAC)	NCBI	Homo sapiens	Human	Homo sapiens	2880STDY5682872	United Kingdom:England	United Kingdom	2004	2004	20-Jan-16	Serratia marcescens	Serratia marcescens	None	None	1551713	5129802	21	None	None	5130524	"Submitted (20-JAN-2016) SC; Wellcome Trust Sanger Institute; CB10 1SA; United Kingdom FEATURES             Location/Qualifiers source          1..1551713 /organism=""Serratia marcescens"""	None	Direct Submission	17	14	13	13	11	5130524	5128123	5122311	5116843	5116843	5052664	19	60.08	599352	283065	3	6	73.45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Serratia marcescens	1	Moradigaravand et al; 2015	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001537365.1_12082_3_5_genomic	12082_3_5	GCA_001537365.1_12082_3_5_genomic.gbff	12082_3_5	None	FCKC01000001	SAMEA2273970	PRJEB5065	blood	Moradigaravand et al; 2015 (BSAC)	NCBI	Homo sapiens	Human	Homo sapiens	2880STDY5682897	United Kingdom:England	United Kingdom	2005	2005	20-Jan-16	Serratia marcescens	Serratia marcescens	None	None	1581308	5083377	14	None	None	5083377	"Submitted (20-JAN-2016) SC; Wellcome Trust Sanger Institute; CB10 1SA; United Kingdom FEATURES             Location/Qualifiers source          1..1581308 /organism=""Serratia marcescens"""	None	Direct Submission	13	11	11	11	9	5083377	5082552	5078081	5078081	5078081	5015325	14	60.05	1426202	415513	2	4	70.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Serratia marcescens	1	Moradigaravand et al; 2015	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001537385.1_12082_3_2_genomic	12082_3_2	GCA_001537385.1_12082_3_2_genomic.gbff	12082_3_2	None	FCJA01000001	SAMEA2273967	PRJEB5065	blood	Moradigaravand et al; 2015 (BSAC)	NCBI	Homo sapiens	Human	Homo sapiens	2880STDY5682894	United Kingdom:England	United Kingdom	2005	2005	20-Jan-16	Serratia sp. 2880STDY5682894	Serratia sp.	None	None	993083	5176087	26	None	None	5176389	"Submitted (20-JAN-2016) SC; Wellcome Trust Sanger Institute; CB10 1SA; United Kingdom FEATURES             Location/Qualifiers source          1..993083 /organism=""Serratia sp. 2880STDY5682894"""	None	Direct Submission	23	19	19	19	16	5176389	5174715	5164463	5164463	5164463	5046186	25	59.85	455194	293215	4	8	94.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Serratia sp.	1	Moradigaravand et al; 2015	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001537405.1_12045_8_26_genomic	12045_8_26	GCA_001537405.1_12045_8_26_genomic.gbff	12045_8_26	None	FCFI01000001	SAMEA2274104	PRJEB5065	blood	Moradigaravand et al; 2015 (BSAC)	NCBI	Homo sapiens	Human	Homo sapiens	2880STDY5683035	United Kingdom:England	United Kingdom	2006	2006	20-Jan-16	Serratia marcescens	Serratia marcescens	None	None	2361975	5050974	14	None	None	5051442	"Submitted (20-JAN-2016) SC; Wellcome Trust Sanger Institute; CB10 1SA; United Kingdom FEATURES             Location/Qualifiers source          1..2361975 /organism=""Serratia marcescens"""	None	Direct Submission	12	11	10	10	9	5051442	5050452	5048177	5042463	5042463	5016735	13	60.06	624697	433693	2	4	56.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Serratia marcescens	1	Moradigaravand et al; 2015	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001537425.1_12082_2_48_genomic	12082_2_48	GCA_001537425.1_12082_2_48_genomic.gbff	12082_2_48	None	FCGX01000001	SAMEA2273913	PRJEB5065	blood	Moradigaravand et al; 2015 (BSAC)	NCBI	Homo sapiens	Human	Homo sapiens	2880STDY5682840	United Kingdom:England	United Kingdom	2003	2003	20-Jan-16	Serratia marcescens	Serratia marcescens	None	None	589922	5109114	32	None	None	5109430	"Submitted (20-JAN-2016) SC; Wellcome Trust Sanger Institute; CB10 1SA; United Kingdom FEATURES             Location/Qualifiers source          1..589922 /organism=""Serratia marcescens"""	None	Direct Submission	28	24	23	21	19	5109430	5107091	5099061	5093346	5050540	4993792	31	60.09	330300	214084	6	11	102.48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Serratia marcescens	1	Moradigaravand et al; 2015	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001537445.1_12045_8_9_genomic	12045_8_9	GCA_001537445.1_12045_8_9_genomic.gbff	12045_8_9	None	FCFL01000001	SAMEA2274084	PRJEB5065	blood	Moradigaravand et al; 2015 (BSAC)	NCBI	Homo sapiens	Human	Homo sapiens	2880STDY5683014	United Kingdom:England	United Kingdom	2010	2010	20-Jan-16	Serratia marcescens	Serratia marcescens	None	None	1678089	5165740	21	None	None	5167238	"Submitted (20-JAN-2016) SC; Wellcome Trust Sanger Institute; CB10 1SA; United Kingdom FEATURES             Location/Qualifiers source          1..1678089 /organism=""Serratia marcescens"""	None	Direct Submission	16	13	12	12	10	5167238	5165059	5157968	5152484	5152484	5093299	17	59.95	1289270	282050	2	5	100.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Serratia marcescens	1	Moradigaravand et al; 2015	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001537465.1_12082_2_82_genomic	12082_2_82	GCA_001537465.1_12082_2_82_genomic.gbff	12082_2_82	None	FCID01000001	SAMEA2273951	PRJEB5065	blood	Moradigaravand et al; 2015 (BSAC)	NCBI	Homo sapiens	Human	Homo sapiens	2880STDY5682878	United Kingdom:England	United Kingdom	2004	2004	20-Jan-16	Serratia marcescens	Serratia marcescens	None	None	1698132	5082110	13	None	None	5082455	"Submitted (20-JAN-2016) SC; Wellcome Trust Sanger Institute; CB10 1SA; United Kingdom FEATURES             Location/Qualifiers source          1..1698132 /organism=""Serratia marcescens"""	None	Direct Submission	12	11	10	10	8	5082455	5082110	5078818	5073398	5073398	5016081	12	60.05	1432569	415489	2	4	88.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Serratia marcescens	1	Moradigaravand et al; 2015	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001537485.1_12082_2_75_genomic	12082_2_75	GCA_001537485.1_12082_2_75_genomic.gbff	12082_2_75	None	FCHW01000001	SAMEA2273942	PRJEB5065	blood	Moradigaravand et al; 2015 (BSAC)	NCBI	Homo sapiens	Human	Homo sapiens	2880STDY5682869	United Kingdom:England	United Kingdom	2004	2004	20-Jan-16	Serratia marcescens	Serratia marcescens	None	None	1557301	5009819	16	None	None	5010177	"Submitted (20-JAN-2016) SC; Wellcome Trust Sanger Institute; CB10 1SA; United Kingdom FEATURES             Location/Qualifiers source          1..1557301 /organism=""Serratia marcescens"""	None	Direct Submission	15	13	12	12	9	5010177	5009819	5004419	4998809	4998809	4908266	15	60.18	1237096	415080	2	4	40.34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Serratia marcescens	1	Moradigaravand et al; 2015	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001537505.1_12082_5_35_genomic	12082_5_35	GCA_001537505.1_12082_5_35_genomic.gbff	12082_5_35	None	FCMF01000001	SAMEA2273971	PRJEB5065	blood	Moradigaravand et al; 2015 (BSAC)	NCBI	Homo sapiens	Human	Homo sapiens	2880STDY5682898	United Kingdom:England	United Kingdom	2005	2005	20-Jan-16	Serratia marcescens	Serratia marcescens	None	None	1739061	5168259	15	None	None	5168259	"Submitted (20-JAN-2016) SC; Wellcome Trust Sanger Institute; CB10 1SA; United Kingdom FEATURES             Location/Qualifiers source          1..1739061 /organism=""Serratia marcescens"""	None	Direct Submission	14	11	10	10	9	5168259	5167384	5159067	5153632	5153632	5122890	15	59.93	1166394	415336	2	4	52.45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Serratia marcescens	1	Moradigaravand et al; 2015	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001537525.1_12082_2_25_genomic	12082_2_25	GCA_001537525.1_12082_2_25_genomic.gbff	12082_2_25	None	FCFZ01000001	SAMEA2273889	PRJEB5065	blood	Moradigaravand et al; 2015 (BSAC)	NCBI	Homo sapiens	Human	Homo sapiens	2880STDY5682816	United Kingdom:England	United Kingdom	2001	2001	20-Jan-16	Serratia marcescens	Serratia marcescens	None	None	1529980	5336994	27	None	None	5337851	"Submitted (20-JAN-2016) SC; Wellcome Trust Sanger Institute; CB10 1SA; United Kingdom FEATURES             Location/Qualifiers source          1..1529980 /organism=""Serratia marcescens"""	None	Direct Submission	22	17	15	15	12	5337851	5334815	5321277	5307229	5307229	5209209	25	59.91	561525	300566	3	6	83.59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Serratia marcescens	1	Moradigaravand et al; 2015	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001537545.1_12082_3_18_genomic	12082_3_18	GCA_001537545.1_12082_3_18_genomic.gbff	12082_3_18	None	FCFC01000001	SAMEA2273983	PRJEB5065	blood	Moradigaravand et al; 2015 (BSAC)	NCBI	Homo sapiens	Human	Homo sapiens	2880STDY5682911	United Kingdom:England	United Kingdom	2006	2006	20-Jan-16	Serratia marcescens	Serratia marcescens	None	None	2510351	5367931	19	None	None	5368690	"Submitted (20-JAN-2016) SC; Wellcome Trust Sanger Institute; CB10 1SA; United Kingdom FEATURES             Location/Qualifiers source          1..2510351 /organism=""Serratia marcescens"""	None	Direct Submission	17	15	14	14	11	5368690	5367931	5361312	5355580	5355580	5266019	17	59.69	691007	282212	2	5	69.32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Serratia marcescens	1	Moradigaravand et al; 2015	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001537565.1_12045_8_25_genomic	12045_8_25	GCA_001537565.1_12045_8_25_genomic.gbff	12045_8_25	None	FCGK01000001	SAMEA2274103	PRJEB5065	blood	Moradigaravand et al; 2015 (BSAC)	NCBI	Homo sapiens	Human	Homo sapiens	2880STDY5683034	United Kingdom:England	United Kingdom	2006	2006	20-Jan-16	Serratia marcescens	Serratia marcescens	None	None	618342	5465778	35	None	None	5466134	"Submitted (20-JAN-2016) SC; Wellcome Trust Sanger Institute; CB10 1SA; United Kingdom FEATURES             Location/Qualifiers source          1..618342 /organism=""Serratia marcescens"""	None	Direct Submission	32	28	27	26	22	5466134	5464547	5453574	5448061	5424460	5265715	34	59.71	267455	196323	7	12	131.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Serratia marcescens	1	Moradigaravand et al; 2015	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001537585.1_12082_3_71_genomic	12082_3_71	GCA_001537585.1_12082_3_71_genomic.gbff	12082_3_71	None	FCLA01000001	SAMEA2274046	PRJEB5065	blood	Moradigaravand et al; 2015 (BSAC)	NCBI	Homo sapiens	Human	Homo sapiens	2880STDY5682974	United Kingdom:England	United Kingdom	2009	2009	20-Jan-16	Serratia marcescens	Serratia marcescens	None	None	1521206	5052886	16	None	None	5053189	"Submitted (20-JAN-2016) SC; Wellcome Trust Sanger Institute; CB10 1SA; United Kingdom FEATURES             Location/Qualifiers source          1..1521206 /organism=""Serratia marcescens"""	None	Direct Submission	14	12	11	11	8	5053189	5052201	5048203	5042717	5042717	4952559	15	60.05	1332886	563292	2	4	88.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Serratia marcescens	1	Moradigaravand et al; 2015	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001537605.1_12082_2_59_genomic	12082_2_59	GCA_001537605.1_12082_2_59_genomic.gbff	12082_2_59	None	FCHG01000001	SAMEA2273924	PRJEB5065	blood	Moradigaravand et al; 2015 (BSAC)	NCBI	Homo sapiens	Human	Homo sapiens	2880STDY5682851	United Kingdom:England	United Kingdom	2003	2003	20-Jan-16	Serratia marcescens	Serratia marcescens	None	None	2810613	5011107	14	None	None	5011452	"Submitted (20-JAN-2016) SC; Wellcome Trust Sanger Institute; CB10 1SA; United Kingdom FEATURES             Location/Qualifiers source          1..2810613 /organism=""Serratia marcescens"""	None	Direct Submission	13	10	9	9	7	5011452	5011107	5003490	4997993	4997993	4940717	13	60.11	2810613	563223	1	3	122.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Serratia marcescens	1	Moradigaravand et al; 2015	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001537625.1_12082_3_27_genomic	12082_3_27	GCA_001537625.1_12082_3_27_genomic.gbff	12082_3_27	None	FCJH01000001	SAMEA2273998	PRJEB5065	blood	Moradigaravand et al; 2015 (BSAC)	NCBI	Homo sapiens	Human	Homo sapiens	2880STDY5682926	United Kingdom:England	United Kingdom	2006	2006	20-Jan-16	Serratia marcescens	Serratia marcescens	None	None	1860366	5088093	14	None	None	5088093	"Submitted (20-JAN-2016) SC; Wellcome Trust Sanger Institute; CB10 1SA; United Kingdom FEATURES             Location/Qualifiers source          1..1860366 /organism=""Serratia marcescens"""	None	Direct Submission	14	12	12	12	10	5088093	5088093	5081674	5081674	5081674	5019089	14	60.02	1028374	283922	2	5	51.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Serratia marcescens	1	Moradigaravand et al; 2015	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001537645.1_12082_2_39_genomic	12082_2_39	GCA_001537645.1_12082_2_39_genomic.gbff	12082_2_39	None	FCGM01000001	SAMEA2273903	PRJEB5065	blood	Moradigaravand et al; 2015 (BSAC)	NCBI	Homo sapiens	Human	Homo sapiens	2880STDY5682830	United Kingdom:England	United Kingdom	2002	2002	20-Jan-16	Serratia marcescens	Serratia marcescens	None	None	2467395	5217124	15	None	None	5217471	"Submitted (20-JAN-2016) SC; Wellcome Trust Sanger Institute; CB10 1SA; United Kingdom FEATURES             Location/Qualifiers source          1..2467395 /organism=""Serratia marcescens"""	None	Direct Submission	14	12	11	11	9	5217471	5217124	5212703	5203551	5203551	5146193	14	59.84	564497	397973	2	4	121.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Serratia marcescens	1	Moradigaravand et al; 2015	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001537665.1_12082_2_85_genomic	12082_2_85	GCA_001537665.1_12082_2_85_genomic.gbff	12082_2_85	None	FCIG01000001	SAMEA2273954	PRJEB5065	blood	Moradigaravand et al; 2015 (BSAC)	NCBI	Homo sapiens	Human	Homo sapiens	2880STDY5682881	United Kingdom:England	United Kingdom	2004	2004	20-Jan-16	Serratia marcescens	Serratia marcescens	None	None	1283233	5167663	17	None	None	5167663	"Submitted (20-JAN-2016) SC; Wellcome Trust Sanger Institute; CB10 1SA; United Kingdom FEATURES             Location/Qualifiers source          1..1283233 /organism=""Serratia marcescens"""	None	Direct Submission	15	13	12	12	10	5167663	5165925	5160647	5155215	5155215	5097865	17	59.92	571051	381878	3	5	110.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Serratia marcescens	1	Moradigaravand et al; 2015	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
